Week,Chapter,WSJ Issue,Oficial WSJ Release Date
Week 01,—,—,—
Week 02,1135,6 | 7, January 6 2025
Week 03,WSJ Break,—,—
Week 04,1136,8, January 20 2025
Week 05,1137,9, January 27 2025
Week 06,Oda Break,10, February 3 2025
Week 07,1138,11, February 10 2025
Week 08,1139,12, February 17 2025
Week 09,1140,13, February 24 2025
Week 10,Oda Break,14, March 3 2025
Week 11,1141,15, March 10 2025
Week 12,1142,16, March 17 2025
Week 13,Oda Break,17, March 24 2025
Week 14,1143,18, March 31 2025
Week 15,1144,19, April 7 2025
Week 16,1145,20, April 14 2025
Week 17,Oda Break,21, April 21 2025
Week 18,1146,22, April 28 2025
Week 19,1147,23 | 24, May 5 2025
Week 20,WSJ Break,—,—
Week 21,1148,25, May 19 2025
Week 22,Oda Break,26, May 26 2025
Week 23,1149,27, June 2 2025
Week 24,1150,28, June 9 2025
Week 25,1151,29, June 16 2025
Week 26,Oda Break,30, June 23 2025
Week 27,1152,31, June 30 2025
Week 28,1153,32, July 7 2025
Week 29,Oda Break,33, July 14 2025
Week 30,1154,34, July 21 2025
Week 31,1155,35, July 28 2025
Week 32,1156,36, August 4 2025
Week 33,Oda Break,37, August 11 2025
Week 34,1157,38 | 39, August 18 2025
Week 35,WSJ Break,—,—
Week 36,1158,40, September 1 2025
Week 37,1159,41, September 8 2025
Week 38,Oda Break,42, September 15 2025
Week 39,1160,43, September 22 2025
Week 40,1161,44, September 29 2025
Week 41,1162,45, October 6 2025
Week 42,Oda Break,46, October 13 2025
Week 43,1163,47, October 20 2025
Week 44,1164,48, October 27 2025
Week 45,Oda Break,49, November 3 2025
Week 46,1165,50, November 10 2025
Week 47,1166,51, November 17 2025
Week 48,Oda Break,52, November 24 2025
Week 49,1167,1, December 1 2025
Week 50,1168,2, December 8 2025
Week 51,Oda Break,3, December 15 2025
Week 52,1169,4 | 5, December 22 2025
Week 53,WSJ Break,—,—
